,Tenor,Expiry,Fwd,-150,-100,-50,-25,0,25,50,100,150
12,5.0,5.0,0.0305387253564752,-0.0005697890206455281,0.0004999090091000746,0.0005648638662518191,0.00020865482671883484,0.0005887766795110716,-0.0008995375285001939,-0.0008484356287080108,-0.0001776960628857016,0.0006589463858556188
13,5.0,10.0,0.033460206787028,-0.0004087391032790988,0.0004225734672160808,0.0003461983824250281,0.0001786934288597608,-6.087276668742536e-05,-0.0002686237545961312,-0.0003543505892052434,-0.00022746357819652951,0.0003910975234201475
14,10.0,0.25,0.0229900298619521,-0.0036178847942475167,0.0023339461546348916,0.0030979624983065723,0.0036120944353621454,0.0011419786245029928,-0.0031759569906089635,-0.005821156491847057,-0.001852045853210471,0.005081838571218633
15,10.0,0.5,0.023535063149,-0.002181584926588598,0.0026001689608016743,0.0012212216120565667,0.00023910146250383235,-0.0007079451328655395,0.0004656927495476082,-0.0021992226039218576,-0.001618923386265736,0.0025057695241124667
16,10.0,0.75,0.0241191197646149,-0.0021030950931315573,0.0025191135331840697,0.0014189728032130144,0.000552811611424564,-0.001505357308677513,-0.00030938281295067593,-0.0011365819073279604,-0.0009175211774496983,0.0017429407828755683
17,10.0,1.0,0.0247247202595493,-0.002127691267373666,0.0029088555654784853,0.0014493101061691105,7.18339383264377e-05,-0.001372991917263533,-0.0009059534322790053,-0.0006462072335017277,-0.00044351736401371245,0.0012500286649257952
18,10.0,2.0,0.0271933226970671,-0.0012665390528420195,0.0016463798107071437,0.0011427820791249932,0.0004991126961755299,-0.0018398900531519935,-0.0005408073466917074,-4.6589492530613175e-05,-0.00014011331688712492,0.0006143435985738743
19,10.0,5.0,0.0318835490704834,-0.0006533614383588127,0.000628840002474873,0.0006898561219358945,0.00043282195198929285,-0.0005510336091659185,-0.0005081789524891134,-0.00039549998214355453,-0.00010320663207111225,0.0004935200315190624
20,10.0,10.0,0.0310092021008827,-0.00046004874876209856,0.000419842106549273,0.0004312233254709086,0.00020927543964716078,-0.00010722978794153182,-0.00026191619467819116,-0.0004003784189520465,-0.0002899080479611682,0.0004830078266522819
21,15.0,0.25,0.0263322222163567,-0.0024243946942946737,0.002088419139270492,0.002078418352744693,0.0009766871427155377,-0.00041676528090128784,-0.001155002206836231,-0.0016319367774539906,-0.0007674279354691893,0.0016322182966413412
22,15.0,0.5,0.0265494792292252,-0.0019475758810744148,0.0018470931633207677,0.0014358747919907544,0.0007035179370806222,-0.00019673318353413682,-0.000986301493353825,-0.0013703952325874735,-0.0006972381058363286,0.0014667863768587641
23,15.0,0.75,0.0267842607517269,-0.0022255550514059808,0.0026048961182116304,0.0017265504451873803,0.00032375719315386187,-0.0012617324319589285,-0.001046118155457576,-0.0008463941861329705,-0.00013687255112165841,0.0010546800706770498
24,15.0,1.0,0.0270263314132533,-0.001657955407440015,0.002215302922580986,0.0011530405610089556,-1.4142797324367962e-06,-0.0011578512228095916,-0.000511600912111998,-0.0004478608165525144,-0.00036832099281347563,0.0008936775669338148
25,15.0,2.0,0.027948737125188,-0.0008477643106566957,0.001150462716265177,0.0005959578043240876,8.710597013628085e-05,-0.0006315979473676681,-0.00046510248418307754,-0.00012178012755459378,-0.00010067557487308809,0.00037769579143864807
26,15.0,5.0,0.0292443456593043,-0.0007077604116562108,0.0007745689360403873,0.0007722983617669543,0.00050644132649591,-0.0010441482328764073,-0.0004738631383395253,-0.0003108653814977713,0.0002368630120375137,0.00028902725936538753
27,15.0,10.0,0.0270809467677389,-0.0009543156120565555,0.0008407180474613307,0.0010862670268858565,0.0010086035842792884,-0.0012033239284069963,-0.0008837283889476799,-0.0005428643094926577,-2.135857363055882e-05,0.0007321572170207458
28,30.0,0.25,0.025244792841184,-0.002953033813816508,0.0029668663961693875,0.00259963499658028,0.00044400750160072944,-0.0007231056782618372,-0.0013692923503391685,-0.001625123915787896,-0.0007223638618364392,0.0018324430009418191
29,30.0,0.5,0.0253993291961977,-0.0028040288287849435,0.0032414871505328513,0.0023328818906944715,0.0003277913775375785,-0.001171074254761928,-0.0013554255460276332,-0.0013978136328257063,-0.0003814072062457985,0.0015299103102789369
30,30.0,0.75,0.0255670295264503,-0.0022335444941491422,0.002814759176293369,0.0015704811053876,-1.6151887331505854e-05,-0.0010920280266627502,-0.0009798498938177747,-0.000785378553289473,-6.178117914346082e-05,0.0010021475935900193
31,30.0,1.0,0.0257401621025641,-0.002136380998738807,0.0026024060928146464,0.0017268545004557878,0.0005653842668136844,-0.0015588349836200832,-0.0011512259660755308,-0.0008594419572373058,-2.7163183836109717e-06,0.0009966497302335564
32,30.0,2.0,0.0263998413140275,-0.0013499746490335252,0.0016791634969700597,0.0010471077070894896,0.0003293638352748207,-0.0010150885388988118,-0.0007530044948328429,-0.0005250776669300516,-3.855276783826245e-05,0.0007239355145587933
33,30.0,5.0,0.0272907584750467,-0.0007968578239796464,0.000811601495890546,0.0009659315560980319,0.0008099833834609993,-0.0016108428942404607,-0.0003399533921762954,-0.000238321273118014,-3.072666685127734e-05,0.00048485227744482495
34,30.0,10.0,0.0259541153585943,-0.00073023213167972,0.0008402032043814955,0.0008232083903096932,0.0005109621101124229,-0.0009238226700217789,-0.0005575982858903039,-0.0004365239140848298,1.8384358014683633e-05,0.0004948358946917086
35,3.75,2.2,0.03,0.0022173478557659387,-0.001832418509895073,-0.006134090667716807,,0.005443261390821963,,0.0012963861255749776,0.005074643532113898,-0.006092918029931393
